,RU2723078C1.pdf,RU2724576C1.pdf,RU2733211C1.pdf,RU2735277C2.pdf,RU2719193C2.pdf,RU2734959C2.pdf,RU2019114979A3.pdf,RU2735278C2.pdf,RU2734283C1.pdf,RU2721332C2.pdf,EA035893B1.pdf,RU2731337C2.pdf,RU2714805C2.pdf,RU2715484C2.pdf,RU2725019C2.pdf,EA036648B1.pdf,RU2720618C2.pdf,EA036496B1.pdf,EA035774B1.pdf,RU2723802C1.pdf,RU2719195C2.pdf,RU2712939C2.pdf,RU2018134780A.pdf,EA036577B1.pdf,RU2711454C2.pdf,RU195993U1.pdf,RU2714794C2.pdf,RU2019114954A.pdf,RU2720681C2.pdf,EA034216B1.pdf,RU2735730C1.pdf,EA035430B1.pdf,RU2719333C2.pdf,RU2739513C1.pdf,RU2736999C1.pdf,RU2732860C2.pdf,RU2717384C2.pdf,RU2712950C2.pdf,RU2727187C2.pdf,EA036668B1.pdf,RU2724903C2.pdf,RU201014U1.pdf,RU2730506C2.pdf,RU2719216C2.pdf,RU2728790C2.pdf,EA036122B1.pdf,EA034787B1.pdf,EA035080B1.pdf,EA036203B1.pdf,RU2018136076A.pdf,RU2739951C2.pdf,RU2730147C2.pdf,RU2711182C2.pdf,RU2735967C2.pdf,EA036779B1.pdf,RU2728194C2.pdf,RU2712751C9.pdf,RU2018134953A.pdf,RU2735769C2.pdf,RU2725958C2.pdf,RU2718349C2.pdf,EA035687B1.pdf,RU2726290C2.pdf,RU2717839C1.pdf,RU2019117750A.pdf,RU2718248C2.pdf,RU2729992C2.pdf,RU2717923C2.pdf,RU2738434C2.pdf,RU2732087C2.pdf,RU2719368C2.pdf,RU2721049C1.pdf,RU2715642C2.pdf,EA034567B1.pdf,RU2018127400A.pdf,RU2711515C2.pdf,RU2738825C1.pdf,RU2733363C1.pdf,RU2719201C1.pdf,RU2737480C2.pdf,RU2734288C1.pdf,RU2715243C2.pdf,RU2721796C2.pdf,RU2019115821A.pdf,RU2735775C2.pdf,RU2722508C1.pdf,RU199934U1.pdf,RU2020125266A.pdf,RU2718392C2.pdf,EA034486B1.pdf,RU2018142858A.pdf,RU2728353C2.pdf,RU2718350C1.pdf,RU2018144877A.pdf,RU2710863C2.pdf,EA035173B1.pdf,RU2734616C1.pdf,RU2019114207A.pdf,RU2018130594A.pdf,RU2728627C2.pdf,RU2730578C2.pdf,RU2018128598A.pdf,RU2735679C2.pdf,RU2019112843A.pdf,RU2711408C2.pdf,RU2019111371A.pdf,RU2734771C2.pdf,RU2732865C2.pdf,RU2019118305A3.pdf,EA035112B1.pdf,EA035348B1.pdf,EA034808B1.pdf,RU2737101C2.pdf,RU2739345C1.pdf,EA035195B1.pdf,EA036001B1.pdf,RU2020138366A.pdf,RU2717190C2.pdf,RU2718348C2.pdf,RU2018144292A.pdf,RU2019104899A3.pdf,RU2729066C2.pdf,RU2019116175A.pdf,RU2729194C2.pdf,RU2721298C2.pdf,RU2732462C1.pdf,RU2019110918A.pdf,EA035092B1.pdf,EA035988B1.pdf,EA036371B1.pdf,RU2713447C1.pdf,RU2727411C2.pdf,RU2018143594A.pdf,RU2723717C2.pdf,RU2734379C2.pdf,EA034708B1.pdf,EA034896B1.pdf,RU2726850C2.pdf,RU2728827C2.pdf,RU2724532C2.pdf,EA035746B1.pdf,RU2716738C2.pdf,RU2019105133A3.pdf,RU2019103483A.pdf,RU2733367C2.pdf,RU2711556C1.pdf,EA035525B1.pdf,RU2715539C2.pdf,RU2723648C2.pdf,RU2018135606A.pdf,RU2018137037A.pdf,EA035993B1.pdf,RU2725158C1.pdf,EA034510B1.pdf,EA035601B1.pdf,RU2727063C1.pdf,RU2019111069A.pdf,RU2018130424A.pdf,RU2729609C2.pdf,RU2730009C2.pdf,EA035349B1.pdf,RU2715245C1.pdf,RU2734646C1.pdf,RU2723326C2.pdf,RU2719989C2.pdf,RU2717712C2.pdf,RU2722790C2.pdf,RU2735958C2.pdf,RU2019111295A.pdf,RU2737190C2.pdf,RU2710941C2.pdf,RU2722245C2.pdf,EA035686B1.pdf,RU2721062C2.pdf,RU2729677C2.pdf,RU2712077C2.pdf,EA036714B1.pdf,RU2712779C1.pdf,RU2739379C1.pdf,RU2019116949A.pdf,RU2718170C2.pdf,RU2020108070A.pdf,RU2713083C2.pdf,EA035281B1.pdf,RU2731158C2.pdf,RU2720641C9.pdf,RU2018128809A.pdf,RU2721966C2.pdf
испаритель,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
испарение,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
жидкость,2.0,,,,,,,,,,,,,,,,,,19.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
пользователь,4.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,2.0,
источник,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,,3.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
питание,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
подача,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
на,4.0,,1.0,,,,23.0,1.0,6.0,6.0,7.0,4.0,3.0,,2.0,9.0,,5.0,4.0,,9.0,2.0,,13.0,,3.0,,,,5.0,1.0,12.0,,,4.0,3.0,5.0,,4.0,8.0,3.0,3.0,1.0,2.0,1.0,3.0,,11.0,8.0,2.0,1.0,,1.0,,7.0,,,8.0,1.0,,,5.0,,3.0,7.0,,,,1.0,2.0,2.0,1.0,1.0,11.0,2.0,1.0,,5.0,1.0,,3.0,5.0,2.0,10.0,3.0,2.0,6.0,,1.0,5.0,10.0,1.0,1.0,3.0,2.0,,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,,6.0,,2.0,3.0,15.0,1.0,7.0,1.0,2.0,13.0,2.0,5.0,2.0,,,,,3.0,1.0,3.0,,,5.0,3.0,7.0,2.0,,,,3.0,4.0,10.0,1.0,,,2.0,,1.0,5.0,6.0,5.0,3.0,1.0,,,1.0,8.0,3.0,8.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,,3.0,,,1.0,2.0,,4.0,1.0,3.0,,,,7.0,6.0,2.0,8.0,4.0,,2.0,16.0,1.0,4.0,16.0,
ответ,1.0,,,,,,2.0,,,,,,1.0,,1.0,,,,,,4.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
активацию,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
устройство,1.0,,,,,,11.0,,3.0,6.0,,,2.0,,,,,,,,,,,,2.0,,,,,,6.0,,8.0,1.0,4.0,,,,,,,,,,,,,,5.0,,3.0,1.0,2.0,1.0,,,,,,,5.0,,1.0,6.0,,,,2.0,,,,,,12.0,19.0,1.0,,13.0,5.0,1.0,1.0,,,,,,,,,,,,3.0,,,,2.0,,16.0,,,,2.0,,,12.0,,,,,,,1.0,2.0,,,,1.0,,,,,1.0,,2.0,2.0,9.0,,,,3.0,,,,4.0,,,,,,,2.0,,4.0,,1.0,,,,,,,5.0,6.0,,13.0,1.0,,,,,,,,,2.0,,,6.0,,8.0,2.0,,,,,,7.0,,23.0,3.0,,1.0,,,2.0,14.0,
блок,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,2.0,,21.0,,,,,,,,
управление,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,4.0,,,,1.0,,,,,,2.0,,4.0,1.0,,,3.0,,,,,,,,,1.0,,,9.0,,,,,3.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,2.0,,,1.0,
вдыхание,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
с,1.0,1.0,4.0,1.0,5.0,,2.0,,9.0,3.0,8.0,2.0,5.0,,1.0,10.0,11.0,9.0,19.0,5.0,,1.0,1.0,14.0,10.0,9.0,4.0,,,8.0,5.0,7.0,3.0,7.0,3.0,1.0,2.0,,,3.0,3.0,2.0,2.0,2.0,,10.0,11.0,28.0,7.0,6.0,,3.0,1.0,3.0,16.0,,,7.0,,1.0,8.0,15.0,,,10.0,4.0,,1.0,5.0,4.0,1.0,5.0,3.0,13.0,13.0,3.0,4.0,4.0,1.0,1.0,3.0,,1.0,5.0,3.0,1.0,3.0,3.0,,4.0,12.0,7.0,1.0,7.0,5.0,1.0,4.0,13.0,25.0,2.0,5.0,9.0,2.0,,2.0,11.0,,4.0,,14.0,7.0,6.0,1.0,3.0,4.0,3.0,8.0,5.0,6.0,1.0,10.0,,14.0,1.0,2.0,3.0,19.0,7.0,10.0,22.0,4.0,3.0,8.0,1.0,7.0,4.0,17.0,1.0,1.0,,17.0,4.0,7.0,15.0,6.0,1.0,9.0,1.0,3.0,4.0,2.0,5.0,3.0,28.0,10.0,,14.0,10.0,,10.0,13.0,2.0,5.0,10.0,8.0,5.0,3.0,,6.0,24.0,1.0,5.0,8.0,1.0,2.0,1.0,22.0,12.0,7.0,14.0,2.0,11.0,6.0,7.0,1.0,,2.0,
длительность,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
возможность,1.0,,,,,,2.0,,,,,,5.0,,,,,,,,,,,,5.0,2.0,5.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,2.0,2.0,,,,4.0,8.0,,3.0,1.0,1.0,,,1.0,1.0,3.0,2.0,,,,,1.0,,,1.0,,1.0,,,11.0,16.0,1.0,1.0,,,,,3.0,,,,,,,,,,,6.0,,,,,,9.0,,2.0,2.0,5.0,,1.0,,,,,,3.0,,,,,,,1.0,,6.0,,,,,,,,,,13.0,,1.0,2.0,,,5.0,,,,1.0,,2.0,,,,,1.0,3.0,,,,,2.0,4.0,4.0,6.0,,,2.0,3.0,1.0,,,
оценивать,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
выполнить,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,4.0,2.0,4.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,2.0,,,,2.0,,,,,,5.0,,,2.0,,,1.0,,,,,2.0,1.0,,,,1.0,10.0,,3.0,1.0,1.0,,,,1.0,3.0,2.0,,,,,,,,1.0,,,,,10.0,9.0,1.0,2.0,,,,,4.0,,,,,,,,,,,2.0,,,,,,15.0,,1.0,1.0,5.0,,,,,,,,2.0,,,,,,,1.0,2.0,4.0,,,,,,,,,,12.0,,,5.0,,,5.0,,,,,,,,,,,1.0,3.0,,,1.0,,,1.0,3.0,6.0,,,2.0,,,,,
